instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
1,01-01-2011,1,0,1,0,0,6,0,1,0.24,0.2879,0.81,0,3,13,16
2,01-01-2011,1,0,1,1,0,6,0,1,0.22,0.2727,0.8,0,8,32,40
3,01-01-2011,1,0,1,2,0,6,0,1,0.22,0.2727,0.8,0,5,27,32
4,01-01-2011,1,0,1,3,0,6,0,1,0.24,0.2879,0.75,0,3,10,13
5,01-01-2011,1,0,1,4,0,6,0,1,0.24,0.2879,0.75,0,0,1,1
6,01-01-2011,1,0,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896,0,1,1
7,01-01-2011,1,0,1,6,0,6,0,1,0.22,0.2727,0.8,0,2,0,2
8,01-01-2011,1,0,1,7,0,6,0,1,0.2,0.2576,0.86,0,1,2,3
9,01-01-2011,1,0,1,8,0,6,0,1,0.24,0.2879,0.75,0,1,7,8
10,01-01-2011,1,0,1,9,0,6,0,1,0.32,0.3485,0.76,0,8,6,14
11,01-01-2011,1,0,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537,12,24,36
12,01-01-2011,1,0,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836,26,30,56
13,01-01-2011,1,0,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836,29,55,84
14,01-01-2011,1,0,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985,47,47,94
15,01-01-2011,1,0,1,14,0,6,0,2,0.46,0.4545,0.72,0.2836,35,71,106
16,01-01-2011,1,0,1,15,0,6,0,2,0.44,0.4394,0.77,0.2985,40,70,110
17,01-01-2011,1,0,1,16,0,6,0,2,0.42,0.4242,0.82,0.2985,41,52,93
18,01-01-2011,1,0,1,17,0,6,0,2,0.44,0.4394,0.82,0.2836,15,52,67
19,01-01-2011,1,0,1,18,0,6,0,3,0.42,0.4242,0.88,0.2537,9,26,35
20,01-01-2011,1,0,1,19,0,6,0,3,0.42,0.4242,0.88,0.2537,6,31,37
21,01-01-2011,1,0,1,20,0,6,0,2,0.4,0.4091,0.87,0.2537,11,25,36
22,01-01-2011,1,0,1,21,0,6,0,2,0.4,0.4091,0.87,0.194,3,31,34
23,01-01-2011,1,0,1,22,0,6,0,2,0.4,0.4091,0.94,0.2239,11,17,28
24,01-01-2011,1,0,1,23,0,6,0,2,0.46,0.4545,0.88,0.2985,15,24,39
25,02-01-2011,1,0,1,0,0,0,0,2,0.46,0.4545,0.88,0.2985,4,13,17
26,02-01-2011,1,0,1,1,0,0,0,2,0.44,0.4394,0.94,0.2537,1,16,17
27,02-01-2011,1,0,1,2,0,0,0,2,0.42,0.4242,1,0.2836,1,8,9
28,02-01-2011,1,0,1,3,0,0,0,2,0.46,0.4545,0.94,0.194,2,4,6
29,02-01-2011,1,0,1,4,0,0,0,2,0.46,0.4545,0.94,0.194,2,1,3
30,02-01-2011,1,0,1,6,0,0,0,3,0.42,0.4242,0.77,0.2985,0,2,2
31,02-01-2011,1,0,1,7,0,0,0,2,0.4,0.4091,0.76,0.194,0,1,1
32,02-01-2011,1,0,1,8,0,0,0,3,0.4,0.4091,0.71,0.2239,0,8,8
33,02-01-2011,1,0,1,9,0,0,0,2,0.38,0.3939,0.76,0.2239,1,19,20
34,02-01-2011,1,0,1,10,0,0,0,2,0.36,0.3485,0.81,0.2239,7,46,53
35,02-01-2011,1,0,1,11,0,0,0,2,0.36,0.3333,0.71,0.2537,16,54,70
36,02-01-2011,1,0,1,12,0,0,0,2,0.36,0.3333,0.66,0.2985,20,73,93
37,02-01-2011,1,0,1,13,0,0,0,2,0.36,0.3485,0.66,0.1343,11,64,75
38,02-01-2011,1,0,1,14,0,0,0,3,0.36,0.3485,0.76,0.194,4,55,59
39,02-01-2011,1,0,1,15,0,0,0,3,0.34,0.3333,0.81,0.1642,19,55,74
40,02-01-2011,1,0,1,16,0,0,0,3,0.34,0.3333,0.71,0.1642,9,67,76
41,02-01-2011,1,0,1,17,0,0,0,1,0.34,0.3333,0.57,0.194,7,58,65
42,02-01-2011,1,0,1,18,0,0,0,2,0.36,0.3333,0.46,0.3284,10,43,53
43,02-01-2011,1,0,1,19,0,0,0,1,0.32,0.2879,0.42,0.4478,1,29,30
44,02-01-2011,1,0,1,20,0,0,0,1,0.3,0.2727,0.39,0.3582,5,17,22
45,02-01-2011,1,0,1,21,0,0,0,1,0.26,0.2273,0.44,0.3284,11,20,31
46,02-01-2011,1,0,1,22,0,0,0,1,0.24,0.2121,0.44,0.2985,0,9,9
47,02-01-2011,1,0,1,23,0,0,0,1,0.22,0.2273,0.47,0.1642,0,8,8
48,03-01-2011,1,0,1,0,0,1,1,1,0.22,0.197,0.44,0.3582,0,5,5
49,03-01-2011,1,0,1,1,0,1,1,1,0.2,0.1667,0.44,0.4179,0,2,2
50,03-01-2011,1,0,1,4,0,1,1,1,0.16,0.1364,0.47,0.3881,0,1,1
51,03-01-2011,1,0,1,5,0,1,1,1,0.16,0.1364,0.47,0.2836,0,3,3
52,03-01-2011,1,0,1,6,0,1,1,1,0.14,0.1061,0.5,0.3881,0,30,30
53,03-01-2011,1,0,1,7,0,1,1,1,0.14,0.1364,0.5,0.194,1,63,64
54,03-01-2011,1,0,1,8,0,1,1,1,0.14,0.1212,0.5,0.2836,1,153,154
55,03-01-2011,1,0,1,9,0,1,1,1,0.16,0.1364,0.43,0.3881,7,81,88
56,03-01-2011,1,0,1,10,0,1,1,1,0.18,0.1667,0.43,0.2537,11,33,44
57,03-01-2011,1,0,1,11,0,1,1,1,0.2,0.1818,0.4,0.3284,10,41,51
58,03-01-2011,1,0,1,12,0,1,1,1,0.22,0.2121,0.35,0.2985,13,48,61
59,03-01-2011,1,0,1,13,0,1,1,1,0.24,0.2121,0.35,0.2836,8,53,61
